Actual;Prediction;Prediction Probability;SHAP Supporting Fidelity;SHAP Contrary Fidelity;LIME Supporting Fidelity;LIME Contrary Fidelity
1;1;0.982407451;0.99007211;0.013246783;0.815988951;0.297874735
1;1;0.999946594;0.99997562;9.36e-06;0.999590208;0.009509952
1;1;0.996629298;0.999059816;0.060751633;0.490133355;0.414378942
1;1;0.927262783;0.837151216;0.328557603;0.263502657;0.111673308
0;1;0.854595602;0.869239374;0.486542224;0.763734868;0.216887912
1;1;0.999809325;0.999970812;0.000918099;0.999776583;0.000584469
1;1;0.996131897;0.988251637;0.004514753;0.996359931;0.467362658
1;1;0.988751352;0.980927999;0.015782758;0.936234372;0.026107444
1;1;0.999271452;0.999649866;0.00035122;0.997166262;0.540604758
1;1;0.911242843;0.954386099;0.063835313;0.745246693;0.648235098
0;1;0.791069448;0.349499118;0.215730768;0.767389166;0.626604217
0;1;0.996132374;0.997714741;0.002417987;0.996046751;0.315338251
1;1;0.995579064;0.996482779;0.001205038;0.996417827;0.191366378
0;1;0.805144668;0.910050232;0.354448174;0.843914874;0.265270628
1;1;0.949532092;0.910554669;0.079376297;0.952863051;0.297628551
1;1;0.88354969;0.983572629;0.125533099;0.632557967;0.804036155
1;1;0.998833239;0.999254078;0.004166255;0.910985727;0.703432414
0;1;0.902391911;0.92001197;0.067987435;0.748626958;0.668731298
0;1;0.876798213;0.923992917;0.099481667;0.927425718;0.221529703
1;1;0.999703467;0.999858027;0.001569951;0.997608656;0.226168945
1;1;0.80013895;0.78808994;0.429423398;0.49507087;0.448801261
1;1;0.99779582;0.998134232;0.019979999;0.998639326;0.527758704
1;1;0.75534147;0.925633191;0.072649504;0.741993463;0.171460049
1;1;0.982397437;0.992667869;0.002571355;0.944062163;0.810608431
1;1;0.975562453;0.862462579;0.102534749;0.983893925;0.943488721
1;1;0.734250665;0.504294746;0.452424273;0.594878887;0.317658374
0;1;0.643899381;0.938252074;0.382969255;0.458171323;0.542792882
0;1;0.917807758;0.944027867;0.054425341;0.764575023;0.730037656
1;1;0.999034047;0.995691757;0.090430529;0.978071572;0.518861654
0;1;0.990525186;0.990477604;0.008785483;0.992856976;0.323165349
1;1;0.995232403;0.97434091;0.004309182;0.995447209;0.397380009
1;1;0.995699525;0.99832904;0.000273061;0.976514125;0.347683056
1;1;0.684686363;0.553618316;0.243377829;0.568614861;0.440664722
1;1;0.942595303;0.912464654;0.043350783;0.91323188;0.486551933
1;1;0.99977535;0.997520426;0.003032805;0.988609145;0.381291171
0;1;0.732020199;0.853671545;0.229464466;0.760522026;0.459410019
0;1;0.596807659;0.771502175;0.568617149;0.519584449;0.84694161
1;1;0.999446929;0.994612068;0.003683637;0.990135149;0.362196464
