Actual;Prediction;Prediction Probability;SHAP Precision;SHAP Recall;SHAP Single Explanation Precision;SHAP Single Explanation Recall;LIME Precision;LIME Recall;LIME Single Explanation Precision;LIME Single Explanation Recall;SHAP Supporting Fidelity;SHAP Contrary Fidelity;LIME Supporting Fidelity;LIME Contrary Fidelity
0;0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;1.0;0.8;1.0;0.2;1.0;0.0
0;0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;1.0;0.75;1.0;0.5;1.0;0.0
0;0;1.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.6666666666666666;1.0;0.4333333333333333;1.0;0.3;0.9;0.1
0;0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;0.8;1.0;0.5;1.0;0.4
0;0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;0.8;1.0;0.7;1.0;0.7
0;0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;0.85;1.0;0.7;1.0;0.6
0;0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;1.0;0.5;1.0;0.1;1.0;0.0
1;0;1.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.6666666666666666;1.0;0.6;1.0;0.6;0.7;0.5714285714285714
1;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.975;1.0;0.6923076923076923;1.0;0.2153846153846153
0;0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;1.0;0.55;1.0;0.7;1.0;0.6
0;0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;0.8;1.0;0.4;1.0;0.4
0;0;0.7692307692307693;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.6666666666666666;1.0;0.7;1.0;0.6499999999999999;0.8500000000000001;0.1499999999999999
0;0;1.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.6666666666666666;1.0;0.6;1.0;0.4;0.5;0.4
0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.975;1.0;0.5;1.0;0.0
0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;0.55;1.0;0.7;1.0;0.5
0;0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;0.75;1.0;0.4;1.0;0.0
0;0;1.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.6666666666666666;1.0;0.5666666666666667;1.0;0.8;1.0;0.2
0;0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;0.85;1.0;0.6;1.0;0.0
1;0;1.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.6666666666666666;1.0;0.6;1.0;0.6;0.8;0.5
0;0;1.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.6666666666666666;1.0;0.4;1.0;0.9;1.0;0.3
0;0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;0.7;1.0;0.8;1.0;0.6
0;0;0.7692307692307693;1.0;1.0;1.0;1.0;1.0;0.6666666666666666;1.0;0.33333333333333337;1.0;0.4;0.6;0.3328571428571428
0;0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;0.65;1.0;0.4;1.0;0.0
0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.975;1.0;0.6153846153846154;0.8384615384615385;0.3384615384615385
0;0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;1.0;0.75;1.0;0.5;1.0;0.4
0;0;1.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.6666666666666666;1.0;0.5666666666666667;1.0;0.8;1.0;0.3
0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;1.0;0.3923076923076923;1.0;0.5
0;0;1.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.6666666666666666;1.0;0.5666666666666667;1.0;0.5;1.0;0.0
0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;0.5;1.0;0.4923076923076923;1.0;0.2
0;0;1.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.3333333333333333;1.0;0.33333333333333337;1.0;0.5;0.7;0.0
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6923076923076923;1.0;0.7692307692307692
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;1.0;0.6615384615384615
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6923076923076923;1.0;0.1538461538461538
1;1;0.5714285714285714;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6423076923076921;1.0;0.2538461538461539
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4428571428571429
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;0.9571428571428572;0.6241758241758242
0;1;0.5714285714285714;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.725;0.3;0.575
0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;1.0;0.2307692307692307
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5714285714285715
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6923076923076923;1.0;0.3846153846153846
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;1.0;0.3846153846153846
1;1;0.5714285714285714;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.975;1.0;0.95;0.4;0.5
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;1.0;0.5384615384615384
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;1.0;0.1538461538461538
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.3
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;1.0;0.6428571428571429
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5
0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;0.3076923076923077;0.8846153846153847
0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6285714285714287
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6428571428571429
0;1;0.5714285714285714;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.975;1.0;0.975;0.1999999999999999;0.725
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.3
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6142857142857144
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5428571428571429
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;1.0;0.3934065934065934
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;1.0;0.2307692307692307
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;1.0;0.1538461538461538
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;1.0;0.4615384615384615
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;1.0;0.59010989010989
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;1.0;0.3076923076923076
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6857142857142857
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6428571428571429
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;1.0;0.3076923076923076
0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;1.0;0.2307692307692307
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9571428571428572;0.7285714285714285
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;1.0;0.5000000000000001
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;0.5384615384615385;0.8076923076923077
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.1999999999999999;0.5142857142857143
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;1.0;0.3846153846153846
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.3
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;1.0;0.7846153846153846
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307692;1.0;0.2307692307692307
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5000000000000001
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6923076923076923;1.0;0.5648351648351648
1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6
