Actual;Prediction;SHAP Supporting Fidelity;SHAP Contrary Fidelity;LIME Supporting Fidelity;LIME Contrary Fidelity
317;303.6687;1.;0.;1.;0.
292;289.90338;1.;0.;1.;0.
222;251.6064;1.;0.;1.;0.
11;44.594543;1.;0.;1.;0.
216;128.01422;1.;0.;1.;0.
110;135.91025;1.;0.;1.;0.
174;160.91483;1.;0.;1.;0.
5;23.175455;1.;0.;1.;0.
228;241.74998;1.;0.;1.;0.
210;330.09155;1.;0.;1.;0.
342;419.29376;1.;0.;1.;0.
170;107.04459;1.;0.;1.;0.
84;73.86631;1.;0.;1.;0.
86;86.25142;1.;0.;1.;0.
168;135.99423;1.;0.;1.;0.
146;163.48848;1.;0.;1.;0.
324;159.0684;1.;0.;1.;0.
56;81.10451;1.;0.;1.;0.
114;59.01301;1.;0.;1.;0.
244;242.6426;1.;0.;1.;0.
499;471.02686;1.;0.;1.;0.
779;728.2629;1.;0.;1.;0.
65;102.37841;1.;0.;1.;0.
833;768.5647;1.;0.;1.;0.
7;-9.568586;1.;0.;1.;0.
86;86.02695;1.;0.;1.;0.
95;122.419525;1.;0.;1.;0.
362;252.41904;1.;0.;1.;0.
79;77.623184;1.;0.;1.;0.
692;723.4058;1.;0.;1.;0.
584;703.775;1.;0.;1.;0.
17;38.08886;1.;0.;1.;0.
493;435.38025;1.;0.;1.;0.
11;22.627268;1.;0.;1.;0.
232;199.51004;1.;0.;1.;0.
182;254.07245;1.;0.;1.;0.
6;-14.955473;1.;0.;1.;0.
109;102.15477;1.;0.;1.;0.
119;118.945984;1.;0.;1.;0.
195;197.29643;1.;0.;1.;0.
196;176.37976;1.;0.;1.;0.
128;156.7882;1.;0.;1.;0.
4;-17.620628;1.;0.;1.;0.
405;362.2054;1.;0.;1.;0.
41;83.890526;1.;0.;1.;0.
63;69.460014;1.;0.;1.;0.
104;92.41833;1.;0.;1.;0.
865;820.2017;1.;0.;1.;0.
3;48.90811;1.;0.;1.;0.
632;608.0659;1.;0.;1.;0.
33;9.282668;1.;0.;1.;0.
46;96.92698;1.;0.;1.;0.
219;207.33833;1.;0.;1.;0.
442;392.11627;1.;0.;1.;0.
432;444.8742;1.;0.;1.;0.
95;43.024216;1.;0.;1.;0.
309;332.236;1.;0.;1.;0.
47;27.943048;1.;0.;1.;0.
244;249.23723;1.;0.;1.;0.
41;47.787464;1.;0.;1.;0.
292;267.34805;1.;0.;1.;0.
18;-19.836313;1.;0.;1.;0.
232;242.6377;1.;0.;1.;0.
8;26.123611;1.;0.;1.;0.
137;133.3541;1.;0.;1.;0.
201;153.26993;1.;0.;1.;0.
2;18.396425;1.;0.;1.;0.
13;-194.92168;1.;0.;1.;0.
118;67.695854;1.;0.;1.;0.
85;128.6503;1.;0.;1.;0.
245;230.66641;1.;0.;1.;0.
9;44.19055;1.;0.;1.;0.
418;368.4056;1.;0.;1.;0.
104;97.17859;1.;0.;1.;0.
310;257.26434;1.;0.;1.;0.
154;209.22034;1.;0.;1.;0.
440;443.39218;1.;0.;1.;0.
443;441.96912;1.;0.;1.;0.
48;97.84144;1.;0.;1.;0.
663;582.72345;1.;0.;1.;0.
19;26.564426;1.;0.;1.;0.
5;29.289188;1.;0.;1.;0.
82;195.60797;1.;0.;1.;0.
53;55.64164;1.;0.;1.;0.
4;5.321022;1.;0.;1.;0.
470;427.8121;1.;0.;1.;0.
192;355.5423;1.;0.;1.;0.
246;219.84454;1.;0.;1.;0.
289;278.36353;1.;0.;1.;0.
699;569.8873;1.;0.;1.;0.
172;231.39018;1.;0.;1.;0.
148;174.42915;1.;0.;1.;0.
175;128.81308;1.;0.;1.;0.
26;17.596478;1.;0.;1.;0.
294;345.84958;1.;0.;1.;0.
40;-1.3575139;1.;0.;1.;0.
239;222.18137;1.;0.;1.;0.
404;322.7894;1.;0.;1.;0.
89;77.38311;1.;0.;1.;0.
509;467.40808;1.;0.;1.;0.
147;45.822838;1.;0.;1.;0.
606;507.37384;1.;0.;1.;0.
167;151.80307;1.;0.;1.;0.
11;14.805111;1.;0.;1.;0.
343;325.3452;1.;0.;1.;0.
40;49.653137;1.;0.;1.;0.
182;173.41435;1.;0.;1.;0.
274;351.81403;1.;0.;1.;0.
6;2.7955995;1.;0.;1.;0.
186;175.09656;1.;0.;1.;0.
1;-11.250937;1.;0.;1.;0.
401;281.54175;1.;0.;1.;0.
1;8.3046465;1.;0.;1.;0.
400;500.33932;1.;0.;1.;0.
140;133.0253;1.;0.;1.;0.
137;242.73306;1.;0.;1.;0.
31;73.37995;1.;0.;1.;0.
1;53.263397;1.;0.;1.;0.
177;295.75812;1.;0.;1.;0.
180;318.98102;1.;0.;1.;0.
224;284.05606;1.;0.;1.;0.
4;21.774654;1.;0.;1.;0.
7;5.1486874;1.;0.;1.;0.
187;222.619;1.;0.;1.;0.
1;0.46346283;1.;0.;1.;0.
25;34.35576;1.;0.;1.;0.
144;68.150505;1.;0.;1.;0.
135;56.638943;1.;0.;1.;0.
2;-2.4479144;1.;0.;1.;0.
56;49.163704;1.;0.;1.;0.
1;24.840715;1.;0.;1.;0.
389;461.28668;1.;0.;1.;0.
79;79.787834;1.;0.;1.;0.
20;9.702381;1.;0.;1.;0.
27;28.523758;1.;0.;1.;0.
211;199.83281;1.;0.;1.;0.
271;262.94977;1.;0.;1.;0.
142;380.09018;1.;0.;1.;0.
5;-49.769154;1.;0.;1.;0.
29;49.20473;1.;0.;1.;0.
175;209.6711;1.;0.;1.;0.
134;147.58125;1.;0.;1.;0.
96;42.97025;1.;0.;1.;0.
172;218.20671;1.;0.;1.;0.
525;602.4475;1.;0.;1.;0.
288;296.0446;1.;0.;1.;0.
4;33.16032;1.;0.;1.;0.
106;132.94333;1.;0.;1.;0.
157;135.33322;1.;0.;1.;0.
119;169.54596;1.;0.;1.;0.
39;38.74604;1.;0.;1.;0.
307;348.9015;1.;0.;1.;0.
250;214.48048;1.;0.;1.;0.
2;-31.010109;1.;0.;1.;0.
13;-21.589384;1.;0.;1.;0.
261;238.69525;1.;0.;1.;0.
35;38.7987;1.;0.;1.;0.
378;482.48285;1.;0.;1.;0.
12;0.4166363;1.;0.;1.;0.
16;-6.0084987;1.;0.;1.;0.
54;-53.542385;1.;0.;1.;0.
147;73.941086;1.;0.;1.;0.
5;-29.736673;1.;0.;1.;0.
54;76.033;1.;0.;1.;0.
254;254.474;1.;0.;1.;0.
194;208.51732;1.;0.;1.;0.
205;189.35957;1.;0.;1.;0.
109;148.16077;1.;0.;1.;0.
15;7.9333506;1.;0.;1.;0.
382;412.31964;1.;0.;1.;0.
524;525.7873;1.;0.;1.;0.
436;449.5711;1.;0.;1.;0.
288;291.07684;1.;0.;1.;0.
177;191.61108;1.;0.;1.;0.
151;126.69518;1.;0.;1.;0.
97;182.52765;1.;0.;1.;0.
403;418.7592;1.;0.;1.;0.
27;13.768415;1.;0.;1.;0.
6;-18.063934;1.;0.;1.;0.
40;40.46476;1.;0.;1.;0.
8;22.546595;1.;0.;1.;0.
77;2.1351776;1.;0.;1.;0.
355;288.04178;1.;0.;1.;0.
229;233.97961;1.;0.;1.;0.
398;239.37334;1.;0.;1.;0.
269;207.38525;1.;0.;1.;0.
433;446.17657;1.;0.;1.;0.
305;309.39008;1.;0.;1.;0.
144;111.57615;1.;0.;1.;0.
24;33.388294;1.;0.;1.;0.
5;-7.5876427;1.;0.;1.;0.
559;599.14087;1.;0.;1.;0.
122;162.97914;1.;0.;1.;0.
96;98.428764;1.;0.;1.;0.
226;289.0272;1.;0.;1.;0.
492;392.51105;1.;0.;1.;0.
336;350.32425;1.;0.;1.;0.
27;56.55602;1.;0.;1.;0.
37;31.30251;1.;0.;1.;0.
138;109.64972;1.;0.;1.;0.
283;280.23;1.;0.;1.;0.
58;62.70318;1.;0.;1.;0.
177;227.50194;1.;0.;1.;0.
674;596.807;1.;0.;1.;0.
17;-18.962118;1.;0.;1.;0.
103;196.70142;1.;0.;1.;0.
13;17.598783;1.;0.;1.;0.
685;722.88226;1.;0.;1.;0.
212;151.34918;1.;0.;1.;0.
70;85.54462;1.;0.;1.;0.
326;402.3531;1.;0.;1.;0.
286;287.0622;1.;0.;1.;0.
505;521.11804;1.;0.;1.;0.
8;25.74202;1.;0.;1.;0.
219;187.40767;1.;0.;1.;0.
96;49.9174;1.;0.;1.;0.
369;342.53217;1.;0.;1.;0.
129;96.03212;1.;0.;1.;0.
281;273.15155;1.;0.;1.;0.
100;160.55191;1.;0.;1.;0.
36;69.49944;1.;0.;1.;0.
100;97.9434;1.;0.;1.;0.
150;230.92776;1.;0.;1.;0.
196;215.84372;1.;0.;1.;0.
11;28.063816;1.;0.;1.;0.
560;628.5677;1.;0.;1.;0.
403;437.03882;1.;0.;1.;0.
51;-0.2972126;1.;0.;1.;0.
77;109.83959;1.;0.;1.;0.
105;134.4758;1.;0.;1.;0.
131;75.012665;1.;0.;1.;0.
119;87.38305;1.;0.;1.;0.
68;55.7077;1.;0.;1.;0.
360;321.48422;1.;0.;1.;0.
4;17.834362;1.;0.;1.;0.
83;219.30438;1.;0.;1.;0.
108;73.03851;1.;0.;1.;0.
277;309.7178;1.;0.;1.;0.
281;251.20071;1.;0.;1.;0.
33;47.14362;1.;0.;1.;0.
233;197.60562;1.;0.;1.;0.
487;448.1695;1.;0.;1.;0.
182;182.90047;1.;0.;1.;0.
113;107.90749;1.;0.;1.;0.
19;9.004732;1.;0.;1.;0.
155;166.76245;1.;0.;1.;0.
20;85.448494;1.;0.;1.;0.
98;80.68474;1.;0.;1.;0.
155;297.17825;1.;0.;1.;0.
349;265.93307;1.;0.;1.;0.
7;7.430735;1.;0.;1.;0.
47;53.11303;1.;0.;1.;0.
21;12.738388;1.;0.;1.;0.
201;214.7887;1.;0.;1.;0.
450;369.57947;1.;0.;1.;0.
20;54.389008;1.;0.;1.;0.
16;16.87081;1.;0.;1.;0.
161;131.90283;1.;0.;1.;0.
11;42.072525;1.;0.;1.;0.
541;334.119;1.;0.;1.;0.
370;406.44415;1.;0.;1.;0.
144;198.4498;1.;0.;1.;0.
41;52.439995;1.;0.;1.;0.
22;25.37965;1.;0.;1.;0.
323;319.77618;1.;0.;1.;0.
304;369.92432;1.;0.;1.;0.
54;-25.399601;1.;0.;1.;0.
456;402.13165;1.;0.;1.;0.
541;568.5944;1.;0.;1.;0.
4;-18.450356;1.;0.;1.;0.
174;142.17505;1.;0.;1.;0.
57;25.969349;1.;0.;1.;0.
27;21.461773;1.;0.;1.;0.
158;150.17044;1.;0.;1.;0.
465;514.3254;1.;0.;1.;0.
96;70.21363;1.;0.;1.;0.
22;35.54306;1.;0.;1.;0.
32;48.121838;1.;0.;1.;0.
36;23.241909;1.;0.;1.;0.
478;465.07162;1.;0.;1.;0.
266;231.2503;1.;0.;1.;0.
580;515.7614;1.;0.;1.;0.
253;372.2723;1.;0.;1.;0.
482;451.7528;1.;0.;1.;0.
123;206.30827;1.;0.;1.;0.
213;228.46812;1.;0.;1.;0.
631;565.76904;1.;0.;1.;0.
9;30.915997;1.;0.;1.;0.
71;30.493866;1.;0.;1.;0.
941;907.02527;1.;0.;1.;0.
89;107.02671;1.;0.;1.;0.
62;52.676514;1.;0.;1.;0.
217;271.68222;1.;0.;1.;0.
152;181.99422;1.;0.;1.;0.
42;56.21203;1.;0.;1.;0.
244;275.64377;1.;0.;1.;0.
101;44.90794;1.;0.;1.;0.
225;164.96385;1.;0.;1.;0.
78;91.77306;1.;0.;1.;0.
320;201.34511;1.;0.;1.;0.
99;120.42014;1.;0.;1.;0.
261;310.99704;1.;0.;1.;0.
604;544.72437;1.;0.;1.;0.
87;76.65362;1.;0.;1.;0.
264;310.2542;1.;0.;1.;0.
170;141.3249;1.;0.;1.;0.
593;581.23193;1.;0.;1.;0.
120;189.23058;1.;0.;1.;0.
5;16.478191;1.;0.;1.;0.
27;-1.8698788;1.;0.;1.;0.
101;90.2836;1.;0.;1.;0.
26;17.117758;1.;0.;1.;0.
6;19.80034;1.;0.;1.;0.
69;78.38615;1.;0.;1.;0.
162;188.7705;1.;0.;1.;0.
27;-7.4580517;1.;0.;1.;0.
239;199.14839;1.;0.;1.;0.
8;62.484028;1.;0.;1.;0.
502;402.74176;1.;0.;1.;0.
6;-9.045657;1.;0.;1.;0.
184;178.13326;1.;0.;1.;0.
29;57.268852;1.;0.;1.;0.
18;73.49054;1.;0.;1.;0.
49;60.100487;1.;0.;1.;0.
28;98.267334;1.;0.;1.;0.
169;186.74968;1.;0.;1.;0.
239;220.24678;1.;0.;1.;0.
59;18.65281;1.;0.;1.;0.
243;216.38196;1.;0.;1.;0.
15;0.051926613;1.;0.;1.;0.
418;367.33505;1.;0.;1.;0.
336;244.9098;1.;0.;1.;0.
367;331.90814;1.;0.;1.;0.
408;401.30838;1.;0.;1.;0.
219;163.14159;1.;0.;1.;0.
14;13.489762;1.;0.;1.;0.
98;25.890232;1.;0.;1.;0.
267;267.1406;1.;0.;1.;0.
270;302.66916;1.;0.;1.;0.
284;300.70084;1.;0.;1.;0.
59;37.298553;1.;0.;1.;0.
138;167.24768;1.;0.;1.;0.
343;317.36255;1.;0.;1.;0.
141;48.199295;1.;0.;1.;0.
5;39.35188;1.;0.;1.;0.
105;111.00136;1.;0.;1.;0.
343;288.2167;1.;0.;1.;0.
40;17.13585;1.;0.;1.;0.
232;253.93689;1.;0.;1.;0.
432;356.23993;1.;0.;1.;0.
16;48.636524;1.;0.;1.;0.
35;106.92893;1.;0.;1.;0.
12;-4.240373;1.;0.;1.;0.
84;127.66501;1.;0.;1.;0.
166;176.2976;1.;0.;1.;0.
2;-33.140507;1.;0.;1.;0.
129;63.767162;1.;0.;1.;0.
272;245.3344;1.;0.;1.;0.
174;183.19347;1.;0.;1.;0.
172;277.8268;1.;0.;1.;0.
487;400.26285;1.;0.;1.;0.
3;10.615617;1.;0.;1.;0.
289;230.97652;1.;0.;1.;0.
402;474.68628;1.;0.;1.;0.
93;137.01761;1.;0.;1.;0.
390;397.32648;1.;0.;1.;0.
458;401.13882;1.;0.;1.;0.
16;-12.0860815;1.;0.;1.;0.
192;165.7737;1.;0.;1.;0.
300;503.99222;1.;0.;1.;0.
102;104.72557;1.;0.;1.;0.
342;425.83966;1.;0.;1.;0.
64;110.48462;1.;0.;1.;0.
513;560.4751;1.;0.;1.;0.
277;248.93848;1.;0.;1.;0.
134;84.61342;1.;0.;1.;0.
142;129.08865;1.;0.;1.;0.
184;128.10002;1.;0.;1.;0.
176;323.35413;1.;0.;1.;0.
431;403.3188;1.;0.;1.;0.
218;168.38914;1.;0.;1.;0.
144;126.88497;1.;0.;1.;0.
459;488.2995;1.;0.;1.;0.
31;33.290123;1.;0.;1.;0.
118;143.32332;1.;0.;1.;0.
343;352.07712;1.;0.;1.;0.
349;448.85706;1.;0.;1.;0.
283;298.82562;1.;0.;1.;0.
359;280.68912;1.;0.;1.;0.
244;254.5038;1.;0.;1.;0.
111;358.72964;1.;0.;1.;0.
507;516.3966;1.;0.;1.;0.
419;384.9045;1.;0.;1.;0.
300;323.6288;1.;0.;1.;0.
39;80.64642;1.;0.;1.;0.
116;139.37929;1.;0.;1.;0.
151;42.592033;1.;0.;1.;0.
416;333.8334;1.;0.;1.;0.
49;16.58455;1.;0.;1.;0.
73;78.10122;1.;0.;1.;0.
261;346.83447;1.;0.;1.;0.
243;240.43468;1.;0.;1.;0.
10;24.4195;1.;0.;1.;0.
188;187.93108;1.;0.;1.;0.
615;644.6634;1.;0.;1.;0.
180;150.05777;1.;0.;1.;0.
74;77.17726;1.;0.;1.;0.
185;145.68492;1.;0.;1.;0.
351;261.74493;1.;0.;1.;0.
60;133.82837;1.;0.;1.;0.
13;42.163696;1.;0.;1.;0.
832;831.98413;1.;0.;1.;0.
33;69.51216;1.;0.;1.;0.
153;150.17345;1.;0.;1.;0.
223;325.44308;1.;0.;1.;0.
26;13.542627;1.;0.;1.;0.
129;124.16359;1.;0.;1.;0.
7;24.87607;1.;0.;1.;0.
7;-5.494662;1.;0.;1.;0.
243;293.93658;1.;0.;1.;0.
283;274.39484;1.;0.;1.;0.
25;68.49085;1.;0.;1.;0.
178;221.98378;1.;0.;1.;0.
127;76.11695;1.;0.;1.;0.
16;5.926697;1.;0.;1.;0.
11;44.868176;1.;0.;1.;0.
115;80.72259;1.;0.;1.;0.
408;456.3937;1.;0.;1.;0.
226;179.7309;1.;0.;1.;0.
277;284.297;1.;0.;1.;0.
8;26.666342;1.;0.;1.;0.
218;210.34763;1.;0.;1.;0.
107;104.801796;1.;0.;1.;0.
287;243.0774;1.;0.;1.;0.
308;320.51758;1.;0.;1.;0.
93;107.90598;1.;0.;1.;0.
26;-25.751734;1.;0.;1.;0.
118;132.68712;1.;0.;1.;0.
273;410.71634;1.;0.;1.;0.
16;1.0920048;1.;0.;1.;0.
163;252.86433;1.;0.;1.;0.
31;66.31119;1.;0.;1.;0.
237;408.61725;1.;0.;1.;0.
2;20.794603;1.;0.;1.;0.
317;265.2954;1.;0.;1.;0.
212;206.8223;1.;0.;1.;0.
65;91.49928;1.;0.;1.;0.
350;373.40833;1.;0.;1.;0.
11;62.727478;1.;0.;1.;0.
443;473.13177;1.;0.;1.;0.
225;234.9347;1.;0.;1.;0.
627;662.0846;1.;0.;1.;0.
122;98.33028;1.;0.;1.;0.
14;53.656876;1.;0.;1.;0.
189;154.67856;1.;0.;1.;0.
38;56.075573;1.;0.;1.;0.
230;225.20784;1.;0.;1.;0.
220;140.63144;1.;0.;1.;0.
409;437.93463;1.;0.;1.;0.
57;59.369663;1.;0.;1.;0.
25;87.892456;1.;0.;1.;0.
78;82.158;1.;0.;1.;0.
25;77.281494;1.;0.;1.;0.
15;3.3681135;1.;0.;1.;0.
133;170.34785;1.;0.;1.;0.
20;35.083374;1.;0.;1.;0.
21;15.124443;1.;0.;1.;0.
43;37.03723;1.;0.;1.;0.
512;528.6228;1.;0.;1.;0.
138;98.36889;1.;0.;1.;0.
308;293.58557;1.;0.;1.;0.
202;318.59598;1.;0.;1.;0.
791;490.08975;1.;0.;1.;0.
79;104.92615;1.;0.;1.;0.
5;-18.827646;1.;0.;1.;0.
55;92.369;1.;0.;1.;0.
27;75.28237;1.;0.;1.;0.
313;323.9902;1.;0.;1.;0.
12;21.430809;1.;0.;1.;0.
356;375.19833;1.;0.;1.;0.
37;43.82655;1.;0.;1.;0.
121;165.93864;1.;0.;1.;0.
15;-11.745104;1.;0.;1.;0.
123;145.51942;1.;0.;1.;0.
65;28.408405;1.;0.;1.;0.
36;31.715109;1.;0.;1.;0.
28;42.50572;1.;0.;1.;0.
819;777.18567;1.;0.;1.;0.
5;-14.798093;1.;0.;1.;0.
145;176.25299;1.;0.;1.;0.
221;130.13553;1.;0.;1.;0.
75;110.857285;1.;0.;1.;0.
153;190.61801;1.;0.;1.;0.
5;7.345768;1.;0.;1.;0.
305;294.33453;1.;0.;1.;0.
8;-6.7000647;1.;0.;1.;0.
91;104.13145;1.;0.;1.;0.
6;9.934538;1.;0.;1.;0.
469;518.72797;1.;0.;1.;0.
233;230.1394;1.;0.;1.;0.
7;7.204463;1.;0.;1.;0.
75;78.50321;1.;0.;1.;0.
74;130.6665;1.;0.;1.;0.
456;322.51175;1.;0.;1.;0.
157;184.45349;1.;0.;1.;0.
244;188.29553;1.;0.;1.;0.
68;118.342316;1.;0.;1.;0.
5;-7.223078;1.;0.;1.;0.
87;107.62316;1.;0.;1.;0.
23;24.11966;1.;0.;1.;0.
129;166.23103;1.;0.;1.;0.
153;310.72244;1.;0.;1.;0.
224;214.89522;1.;0.;1.;0.
260;242.89618;1.;0.;1.;0.
48;45.344112;1.;0.;1.;0.
30;22.59837;1.;0.;1.;0.
364;346.1577;1.;0.;1.;0.
